from	to	num_distinct_user
BANKPLUS	Chi tiet hoa don thanh toan tien dien cua khach hang PC12AA0142754 la: Khong co thong tin.	32259
BANKPLUS	Hoa don tien Dien 289.692 VND cho khach hang , ma khach hang PC12AA0142754 da duoc thanh toan thanh cong. Phi tien ich 0 VND. Ngay GD: 13/06/2018 17:38:4	32259
BANKPLUS	Quy khach da tra tien thanh cong hoa don tien Dien 973.134 cho PK04000001555, Nguyen Ich Quoc. Phi tien ich 0. Ngay GD: 14/06/2018 13:40:48. Duong dan la	32259
BANKPLUS	Quy khach da tra tien thanh cong hoa don tien Dien 413.611 cho PB05010074962, Doan Thi Viet Anh. Phi tien ich 0. Ngay GD: 11/06/2018 15:12:01. Duong dan	32259
BANKPLUS	Quy khach da tra tien thanh cong hoa don tien Dien 741.406 VND cho PK11000013279, Tran Khanh Van. Phi tien ich 0 VND. Ngay GD: 12/06/2018 08:25:14. Duong	32259
BANKPLUS	Quy khach da tra tien thanh cong hoa don tien Dien 838.662 VND cho PK06000091036, Pham Thi Cho. Phi tien ich 0. Ngay GD: 13/06/2018 13:55:49. Duong dan l	32259
BANKPLUS	Hoa don tien DIEN cua quy khach da duoc thanh toan tu dong thanh cong. Ma khach hang PD12000063805, NGUYEN THI THU HANG  so tien 439,351 VND. Phi giao di	32259
BANKPLUS	Chi tiet hoa don thanh toan tien DIEN cua khach hang PD12000063805 qua thanh toan tu dong Bankplus ngan hang MB la: 6/2018: 1118869365 439,351VND#	32259
BANKPLUS	Hoa don tien DIEN cua quy khach da duoc thanh toan tu dong thanh cong. Ma khach hang PC10HH0965457, TRAN THI HIEN  so tien 167,915 VND. Phi giao dich 0 V	32259
BANKPLUS	Chi tiet hoa don thanh toan tien DIEN cua khach hang PC10HH0965457 qua thanh toan tu dong Bankplus ngan hang MB la: 2018/05/06-2018/06/05: 18061 167915#	32259
ECPay	ECPay thong bao: Tien dien T6/2018 cua Ma KH PE09000028169, la 275.385VND. Truy cap www.ecpay.vn hoac lien he 1900561230 de biet them chi tiet.	11604
ECPay	ECPay thong bao: Tien dien T6/2018 cua Ma KH PD0100T15946, la 2.069.470VND. Truy cap www.ecpay.vn hoac lien he 1900561230 de biet them chi tiet.	11604
ECPay	ECPay thong bao: Tien dien T6/2018 cua Ma KH PE05000152043, la 1.704.024VND. Truy cap www.ecpay.vn hoac lien he 1900561230 de biet them chi tiet.	11604
ECPay	ECPay thong bao: Tien dien T6/2018 cua Ma KH PE09000124393, la 380.149VND. Truy cap www.ecpay.vn hoac lien he 1900561230 de biet them chi tiet.	11604
ECPay	ECPay thong bao: Tien dien T6/2018 cua Ma KH PE05000151552, la 513.997VND. Truy cap www.ecpay.vn hoac lien he 1900561230 de biet them chi tiet.	11604
ECPay	ECPay thong bao: Tien dien T6/2018 cua Ma KH PE13000159007, la 431.629VND. Truy cap www.ecpay.vn hoac lien he 1900561230 de biet them chi tiet.	11604
ECPay	ECPay thong bao: Tien dien T6/2018 cua Ma KH PD03T103098, la 13.631VND. Truy cap www.ecpay.vn hoac lien he 1900561230 de biet them chi tiet.	11604
